MX_CODE|MX_CODE_TYPE|LEVEL1_CODE|LEVEL1_DESC|LEVEL2_CODE|LEVEL2_DESC|LEVEL3_CODE|LEVEL3_DESC|GENDER
0005t|41|4230|vascular surgery|41680|vascular catheterization|532900|percutaneous transluminal carotid artery stent placement|
0006t|41|4230|vascular surgery|41680|vascular catheterization|532900|percutaneous transluminal carotid artery stent placement|
0007t|41|4230|vascular surgery|41680|vascular catheterization|532900|percutaneous transluminal carotid artery stent placement|
0008t|41|4060|general surgery|40600|upper gi|441200|endoscopic gerd procedures|
0009|41|4230|vascular surgery|41670|medical vascular|532000|vascular ultrasound study|
0009t|41|4070|gynecology|40630|general gynecology procedures|445400|endometrial ablation (cryoablation)|f
0010|41|4120|oncology|41030|radiation therapy|462900|brachytherapy treatment - high dose rate (hdr)|
0010t|41|4080|lab|40690|chemistry|450700|chemistry|
0011|41|4150|other|41310|infusion/transfusion|498900|therapeutic infusion/injection|
0012|41|4150|other|41310|infusion/transfusion|498900|therapeutic infusion/injection|
0012t|41|4140|orthopedics|41270|sports medicine|497100|knee procedures - articular cartilage procedures - other|
0013|41|4150|other|41310|infusion/transfusion|498900|therapeutic infusion/injection|
0013t|41|4140|orthopedics|41270|sports medicine|497100|knee procedures - articular cartilage procedures - other|
0014|41|4150|other|41310|infusion/transfusion|498900|therapeutic infusion/injection|
0014t|41|4140|orthopedics|41270|sports medicine|497500|knee procedures - meniscus procedures - transplant|
0015|41|4150|other|41310|infusion/transfusion|498900|therapeutic infusion/injection|
0016t|41|4130|ophthalmology|41140|vitreo-retinal procedures|474800|lesion destruction - choroid - thermotherapy|
0017|41|4150|other|41310|infusion/transfusion|498900|therapeutic infusion/injection|
0017t|41|4130|ophthalmology|41140|vitreo-retinal procedures|475200|macular drusen destruction - photocoagulation|
0018t|41|4100|neuroscience|40910|functional neurosurgery procedures|454200|neurostimulation - focal magnetic pulse delivery|
0019t|41|4140|orthopedics|41180|general surgical orthopedics|486100|extracororeal shock wave therapy (eswt) - other|
0020t|41|4140|orthopedics|41150|foot|478000|plantar fascia procedures - extracorporeal shock wave therapy (eswt)|
0021|41|4230|vascular surgery|41680|vascular catheterization|532600|intravascular peripheral ultrasound|
0022|41|4230|vascular surgery|41680|vascular catheterization|532600|intravascular peripheral ultrasound|
0023|41|4230|vascular surgery|41680|vascular catheterization|532600|intravascular peripheral ultrasound|
0023t|41|4080|lab|40790|other lab|451700|other lab|
0024|41|4000|cardiology|40000|cardiac catheterization|400400|intravascular coronary ultrasound|
0025|41|4230|vascular surgery|41680|vascular catheterization|532600|intravascular peripheral ultrasound|
0025t|41|4180|radiology|41460|ultrasound|510400|ophthalmic ultrasound|
0026t|41|4080|lab|40690|chemistry|450700|chemistry|
0027t|41|4160|pain management|41350|destructions (neurolysis & adhesiolysis)|499500|adhesiolysis|
0028|41|4230|vascular surgery|41680|vascular catheterization|532600|intravascular peripheral ultrasound|
0028t|41|4180|radiology|41470|x-ray|511000|bone density x-ray|
0029|41|4230|vascular surgery|41680|vascular catheterization|532600|intravascular peripheral ultrasound|
0029t|41|4220|urology|41610|incontinence|523800|pulsed magnetic neuromodulation|
0030t|41|4080|lab|40760|immunology|451400|immunology|
0031|41|4180|radiology|41420|ct|504700|other ct|
0031t|41|4070|gynecology|40630|general gynecology procedures|447300|speculoscopy|f
0032|41|4180|radiology|41430|mri|506400|mri guided procedure|
0032t|41|4070|gynecology|40630|general gynecology procedures|447300|speculoscopy|f
0033|41|4180|radiology|41470|x-ray|512500|x-ray fluoroscopy|
0033t|41|4230|vascular surgery|41690|vascular surgery|534100|endovascular abdominal aortic aneurysm stent graft implant|
0034t|41|4230|vascular surgery|41690|vascular surgery|534100|endovascular abdominal aortic aneurysm stent graft implant|
0035t|41|4230|vascular surgery|41690|vascular surgery|534100|endovascular abdominal aortic aneurysm stent graft implant|
0036t|41|4230|vascular surgery|41690|vascular surgery|534100|endovascular abdominal aortic aneurysm stent graft implant|
0037t|41|4230|vascular surgery|41690|vascular surgery|534700|other vascular surgery|
0038t|41|4230|vascular surgery|41690|vascular surgery|534100|endovascular abdominal aortic aneurysm stent graft implant|
0039t|41|4230|vascular surgery|41690|vascular surgery|534100|endovascular abdominal aortic aneurysm stent graft implant|
0040t|41|4230|vascular surgery|41690|vascular surgery|534100|endovascular abdominal aortic aneurysm stent graft implant|
0041t|41|4080|lab|40870|urinalysis|452500|urinalysis|
0042t|41|4180|radiology|41420|ct|504700|other ct|
0043t|41|4170|pulmonary|41400|pulmonary function/diagnostic testing|501400|expired gas analysis|
0044t|41|4050|general medicine|40420|dermatology - skin cancer|427200|whole body photography|
0045t|41|4050|general medicine|40420|dermatology - skin cancer|427200|whole body photography|
0046t|41|4060|general surgery|40500|breast|433600|other procedures - breast|
0047t|41|4060|general surgery|40500|breast|433600|other procedures - breast|
0050|41|4000|cardiology|40010|electrophysiology|402300|icd implant|
0051|41|4000|cardiology|40010|electrophysiology|402300|icd implant|
0052|41|4000|cardiology|40010|electrophysiology|402200|heart electrode procedure|
0053|41|4000|cardiology|40010|electrophysiology|402300|icd implant|
0054|41|4000|cardiology|40010|electrophysiology|402300|icd implant|
0055|41|4230|vascular surgery|41680|vascular catheterization|533200|percutaneous transluminal peripheral artery stent placement|
0057t|41|4060|general surgery|40600|upper gi|441200|endoscopic gerd procedures|
0058t|41|4070|gynecology|40670|women's reproductive health procedures|449200|cryopreservation|f
0059t|41|4070|gynecology|40670|women's reproductive health procedures|449200|cryopreservation|f
0061|41|4100|neuroscience|40940|neuro-vascular procedures|455500|occlusion/embolization - transcatheter|
0061t|41|4060|general surgery|40500|breast|433700|tumor destruction (thermotherapy) - breast|
0062|41|4100|neuroscience|40940|neuro-vascular procedures|455500|occlusion/embolization - transcatheter|
0062t|41|4160|pain management|41370|intradiscal electrothermal therapy (idet)|500400|intradiscal electrothermal therapy (idet)|
0063|41|4230|vascular surgery|41680|vascular catheterization|532900|percutaneous transluminal carotid artery stent placement|
0063t|41|4160|pain management|41370|intradiscal electrothermal therapy (idet)|500400|intradiscal electrothermal therapy (idet)|
0064|41|4100|neuroscience|40940|neuro-vascular procedures|455500|occlusion/embolization - transcatheter|
0064t|41|4170|pulmonary|41400|pulmonary function/diagnostic testing|501400|expired gas analysis|
0065|41|4100|neuroscience|40940|neuro-vascular procedures|455500|occlusion/embolization - transcatheter|
0065t|41|4130|ophthalmology|41100|other diagnostic testing|469300|other diagnostic procedures|
0066t|41|4180|radiology|41420|ct|504200|ct colonography (virtual colonoscopy)|
0067t|41|4180|radiology|41420|ct|504200|ct colonography (virtual colonoscopy)|
0068t|41|4000|cardiology|40020|medical cardiology|403300|audioelectric cardiography|
0069t|41|4000|cardiology|40020|medical cardiology|403300|audioelectric cardiography|
0070t|41|4000|cardiology|40020|medical cardiology|403300|audioelectric cardiography|
0071t|41|4070|gynecology|40660|uterine fibroid procedures|448500|uterine fibroid ablation - ultrasound|f
0072t|41|4070|gynecology|40660|uterine fibroid procedures|448500|uterine fibroid ablation - ultrasound|f
0073t|41|4120|oncology|41030|radiation therapy|463200|imrt|
0074t|41|4050|general medicine|40440|evaluation and management|430000|other physician services|
0075t|41|4230|vascular surgery|41680|vascular catheterization|532900|percutaneous transluminal carotid artery stent placement|
0076t|41|4230|vascular surgery|41680|vascular catheterization|532900|percutaneous transluminal carotid artery stent placement|
0078t|41|4230|vascular surgery|41690|vascular surgery|534100|endovascular abdominal aortic aneurysm stent graft implant|
0079t|41|4230|vascular surgery|41690|vascular surgery|534100|endovascular abdominal aortic aneurysm stent graft implant|
0080t|41|4230|vascular surgery|41690|vascular surgery|534100|endovascular abdominal aortic aneurysm stent graft implant|
0081t|41|4230|vascular surgery|41690|vascular surgery|534100|endovascular abdominal aortic aneurysm stent graft implant|
0082t|41|4100|neuroscience|40930|neuro-oncology procedures|455300|stereotactic radiosurgery (srs)|
0083t|41|4100|neuroscience|40930|neuro-oncology procedures|455300|stereotactic radiosurgery (srs)|
0084t|41|4220|urology|41630|prostate|528200|other procedures - prostate|
0086t|41|4000|cardiology|40000|cardiac catheterization|400100|diagnostic cardiac catheterization|
0087t|41|4080|lab|40810|reproductive medicine procedures|451900|reproductive medicine procedures|
0088t|41|4030|ent|40180|oral/maxillofacial procedures|417300|tongue reduction - radiofrequency|
01.01|41|4140|orthopedics|41240|spine - other spine procedures|495400|other procedures - spine|
01.02|41|4100|neuroscience|40970|skull/meninges/brain procedures|459800|aspiration/injection - skull/meninges/brain|
01.15|41|4140|orthopedics|41180|general surgical orthopedics|484100|biopsy - bone|
01.18|41|4100|neuroscience|40970|skull/meninges/brain procedures|460300|other procedures - skull/meninges/brain|
01.19|41|4100|neuroscience|40950|other nervous system procedures|456300|other nervous system procedures|
01.22|41|4100|neuroscience|40910|functional neurosurgery procedures|454400|neurostimulation - pulse generator implantation/removal|
0101|41|4140|orthopedics|41240|spine - other spine procedures|495400|other procedures - spine|
0102|41|4100|neuroscience|40970|skull/meninges/brain procedures|459800|aspiration/injection - skull/meninges/brain|
0115|41|4140|orthopedics|41180|general surgical orthopedics|484100|biopsy - bone|
0118|41|4100|neuroscience|40970|skull/meninges/brain procedures|460300|other procedures - skull/meninges/brain|
0119|41|4100|neuroscience|40950|other nervous system procedures|456300|other nervous system procedures|
0122|41|4100|neuroscience|40910|functional neurosurgery procedures|454400|neurostimulation - pulse generator implantation/removal|
02.02|41|4100|neuroscience|40970|skull/meninges/brain procedures|460200|fracture treatment - skull|
02.41|41|4100|neuroscience|40970|skull/meninges/brain procedures|459800|aspiration/injection - skull/meninges/brain|
02.42|41|4100|neuroscience|40970|skull/meninges/brain procedures|459900|catheter replacement/irrigation - skull/brain|
02.94|41|4100|neuroscience|40970|skull/meninges/brain procedures|459700|application/removal - fixation devices - skull|
02.95|41|4140|orthopedics|41160|fracture/dislocation treatment|480100|fixation device application/removal|
02.96|41|4100|neuroscience|40920|neuro-electrodiagnostics|454800|electroencephalogram (eeg)|
0202|41|4100|neuroscience|40970|skull/meninges/brain procedures|460200|fracture treatment - skull|
0241|41|4100|neuroscience|40970|skull/meninges/brain procedures|459800|aspiration/injection - skull/meninges/brain|
0242|41|4100|neuroscience|40970|skull/meninges/brain procedures|459900|catheter replacement/irrigation - skull/brain|
0294|41|4100|neuroscience|40970|skull/meninges/brain procedures|459700|application/removal - fixation devices - skull|
0295|41|4140|orthopedics|41160|fracture/dislocation treatment|480100|fixation device application/removal|
0296|41|4100|neuroscience|40920|neuro-electrodiagnostics|454800|electroencephalogram (eeg)|
03.01|41|4140|orthopedics|41240|spine - other spine procedures|495400|other procedures - spine|
03.02|41|4140|orthopedics|41210|spine - decompression|494100|discectomy - conventional|
03.09|41|4140|orthopedics|41210|spine - decompression|494100|discectomy - conventional|
03.21|41|4140|orthopedics|41240|spine - other spine procedures|495400|other procedures - spine|
03.31|41|4140|orthopedics|41240|spine - other spine procedures|495700|spinal puncture|
03.32|41|4140|orthopedics|41240|spine - other spine procedures|495400|other procedures - spine|
03.39|41|4140|orthopedics|41240|spine - other spine procedures|495400|other procedures - spine|
03.53|41|4140|orthopedics|41240|spine - other spine procedures|495200|fracture treatment - spine|
03.6|41|4160|pain management|41350|destructions (neurolysis & adhesiolysis)|499500|adhesiolysis|
03.71|41|4140|orthopedics|41240|spine - other spine procedures|495400|other procedures - spine|
03.72|41|4140|orthopedics|41240|spine - other spine procedures|495400|other procedures - spine|
03.79|41|4140|orthopedics|41240|spine - other spine procedures|495400|other procedures - spine|
03.8|41|4160|pain management|41350|destructions (neurolysis & adhesiolysis)|499600|neurolysis|
03.90|41|4140|orthopedics|41250|spine - pain pumps & stimulators|496000|drug infusion pump - catheter implantation/removal|
03.91|41|4160|pain management|41360|injections/blocks|499700|injection - epidural|
03.92|41|4160|pain management|41360|injections/blocks|499700|injection - epidural|
03.93|41|4140|orthopedics|41250|spine - pain pumps & stimulators|496300|spinal cord stimulator lead/pulse generator implant/removal|
03.94|41|4140|orthopedics|41250|spine - pain pumps & stimulators|496300|spinal cord stimulator lead/pulse generator implant/removal|
03.95|41|4140|orthopedics|41240|spine - other spine procedures|495400|other procedures - spine|
03.96|41|4160|pain management|41350|destructions (neurolysis & adhesiolysis)|499600|neurolysis|
03.97|41|4140|orthopedics|41240|spine - other spine procedures|495400|other procedures - spine|
03.98|41|4140|orthopedics|41240|spine - other spine procedures|495400|other procedures - spine|
03.99|41|4140|orthopedics|41240|spine - other spine procedures|495400|other procedures - spine|
0301|41|4140|orthopedics|41240|spine - other spine procedures|495400|other procedures - spine|
0302|41|4140|orthopedics|41210|spine - decompression|494100|discectomy - conventional|
0309|41|4140|orthopedics|41210|spine - decompression|494100|discectomy - conventional|
0321|41|4140|orthopedics|41240|spine - other spine procedures|495400|other procedures - spine|
0331|41|4140|orthopedics|41240|spine - other spine procedures|495700|spinal puncture|
0332|41|4140|orthopedics|41240|spine - other spine procedures|495400|other procedures - spine|
0339|41|4140|orthopedics|41240|spine - other spine procedures|495400|other procedures - spine|
0353|41|4140|orthopedics|41240|spine - other spine procedures|495200|fracture treatment - spine|
036|41|4160|pain management|41350|destructions (neurolysis & adhesiolysis)|499500|adhesiolysis|
0371|41|4140|orthopedics|41240|spine - other spine procedures|495400|other procedures - spine|
0372|41|4140|orthopedics|41240|spine - other spine procedures|495400|other procedures - spine|
0379|41|4140|orthopedics|41240|spine - other spine procedures|495400|other procedures - spine|
038|41|4160|pain management|41350|destructions (neurolysis & adhesiolysis)|499600|neurolysis|
0390|41|4140|orthopedics|41250|spine - pain pumps & stimulators|496000|drug infusion pump - catheter implantation/removal|
0391|41|4160|pain management|41360|injections/blocks|499700|injection - epidural|
0392|41|4160|pain management|41360|injections/blocks|499700|injection - epidural|
0393|41|4140|orthopedics|41250|spine - pain pumps & stimulators|496300|spinal cord stimulator lead/pulse generator implant/removal|
0394|41|4140|orthopedics|41250|spine - pain pumps & stimulators|496300|spinal cord stimulator lead/pulse generator implant/removal|
0395|41|4140|orthopedics|41240|spine - other spine procedures|495400|other procedures - spine|
0396|41|4160|pain management|41350|destructions (neurolysis & adhesiolysis)|499600|neurolysis|
0397|41|4140|orthopedics|41240|spine - other spine procedures|495400|other procedures - spine|
0398|41|4140|orthopedics|41240|spine - other spine procedures|495400|other procedures - spine|
0399|41|4140|orthopedics|41240|spine - other spine procedures|495400|other procedures - spine|
04.01|41|4030|ent|40150|middle/inner ear procedures|412300|other procedures - inner ear|
04.02|41|4160|pain management|41350|destructions (neurolysis & adhesiolysis)|499600|neurolysis|
04.03|41|4100|neuroscience|40950|other nervous system procedures|457600|transection/avulsion - other nerve|
04.04|41|4100|neuroscience|40950|other nervous system procedures|457600|transection/avulsion - other nerve|
04.05|41|4100|neuroscience|40970|skull/meninges/brain procedures|460600|stereotactic lesion creation - skull/brain|
04.06|41|4100|neuroscience|40950|other nervous system procedures|456300|other nervous system procedures|
04.07|41|4140|orthopedics|41150|foot|476500|excision - morton's neuroma|
04.11|41|4100|neuroscience|40950|other nervous system procedures|455600|biopsy - nerve|
04.12|41|4100|neuroscience|40950|other nervous system procedures|455600|biopsy - nerve|
04.19|41|4100|neuroscience|40950|other nervous system procedures|456300|other nervous system procedures|
04.2|41|4160|pain management|41350|destructions (neurolysis & adhesiolysis)|499600|neurolysis|
04.3|41|4100|neuroscience|40950|other nervous system procedures|456400|suture - hand/foot nerve|
04.41|41|4100|neuroscience|40950|other nervous system procedures|456200|neuroplasty - other|
04.42|41|4030|ent|40100|endoscopic nasal/sinus procedures|408500|nasal/sinus endoscopy - other procedures|
04.43|41|4140|orthopedics|41190|hand|491500|carpal tunnel release|
04.44|41|4140|orthopedics|41190|hand|491500|carpal tunnel release|
04.49|41|4100|neuroscience|40950|other nervous system procedures|456000|nerve decompression|
04.5|41|4100|neuroscience|40950|other nervous system procedures|456100|nerve graft|
04.6|41|4100|neuroscience|40890|cranial/peripheral nerve disorders|453300|neuroplasty - ulnar nerve transposition - elbow|
04.74|41|4100|neuroscience|40950|other nervous system procedures|456300|other nervous system procedures|
04.75|41|4100|neuroscience|40950|other nervous system procedures|456300|other nervous system procedures|
04.76|41|4100|neuroscience|40950|other nervous system procedures|456300|other nervous system procedures|
04.79|41|4100|neuroscience|40950|other nervous system procedures|456200|neuroplasty - other|
04.80|41|4100|neuroscience|40950|other nervous system procedures|456300|other nervous system procedures|
04.81|41|4160|pain management|41360|injections/blocks|500000|injection - somatic nerve|
04.89|41|4100|neuroscience|40950|other nervous system procedures|456300|other nervous system procedures|
04.91|41|4100|neuroscience|40950|other nervous system procedures|456300|other nervous system procedures|
04.92|41|4100|neuroscience|40910|functional neurosurgery procedures|454000|neurostimulation - electrical lead implantation - percutaneous|
04.93|41|4100|neuroscience|40910|functional neurosurgery procedures|454100|neurostimulation - electrical lead removal/revision|
04.99|41|4100|neuroscience|40950|other nervous system procedures|456300|other nervous system procedures|
0401|41|4030|ent|40150|middle/inner ear procedures|412300|other procedures - inner ear|
0402|41|4160|pain management|41350|destructions (neurolysis & adhesiolysis)|499600|neurolysis|
0403|41|4100|neuroscience|40950|other nervous system procedures|457600|transection/avulsion - other nerve|
0404|41|4100|neuroscience|40950|other nervous system procedures|457600|transection/avulsion - other nerve|
0405|41|4100|neuroscience|40970|skull/meninges/brain procedures|460600|stereotactic lesion creation - skull/brain|
0406|41|4100|neuroscience|40950|other nervous system procedures|456300|other nervous system procedures|
0407|41|4140|orthopedics|41150|foot|476500|excision - morton's neuroma|
0411|41|4100|neuroscience|40950|other nervous system procedures|455600|biopsy - nerve|
0412|41|4100|neuroscience|40950|other nervous system procedures|455600|biopsy - nerve|
0419|41|4100|neuroscience|40950|other nervous system procedures|456300|other nervous system procedures|
042|41|4160|pain management|41350|destructions (neurolysis & adhesiolysis)|499600|neurolysis|
043|41|4100|neuroscience|40950|other nervous system procedures|456400|suture - hand/foot nerve|
0441|41|4100|neuroscience|40950|other nervous system procedures|456200|neuroplasty - other|
0442|41|4030|ent|40100|endoscopic nasal/sinus procedures|408500|nasal/sinus endoscopy - other procedures|
0443|41|4140|orthopedics|41190|hand|491500|carpal tunnel release|
0444|41|4140|orthopedics|41190|hand|491500|carpal tunnel release|
0449|41|4100|neuroscience|40950|other nervous system procedures|456000|nerve decompression|
045|41|4100|neuroscience|40950|other nervous system procedures|456100|nerve graft|
046|41|4100|neuroscience|40890|cranial/peripheral nerve disorders|453300|neuroplasty - ulnar nerve transposition - elbow|
0474|41|4100|neuroscience|40950|other nervous system procedures|456300|other nervous system procedures|
0475|41|4100|neuroscience|40950|other nervous system procedures|456300|other nervous system procedures|
0476|41|4100|neuroscience|40950|other nervous system procedures|456300|other nervous system procedures|
0479|41|4100|neuroscience|40950|other nervous system procedures|456200|neuroplasty - other|
0480|41|4100|neuroscience|40950|other nervous system procedures|456300|other nervous system procedures|
0481|41|4160|pain management|41360|injections/blocks|500000|injection - somatic nerve|
0489|41|4100|neuroscience|40950|other nervous system procedures|456300|other nervous system procedures|
0491|41|4100|neuroscience|40950|other nervous system procedures|456300|other nervous system procedures|
0492|41|4100|neuroscience|40910|functional neurosurgery procedures|454000|neurostimulation - electrical lead implantation - percutaneous|
0493|41|4100|neuroscience|40910|functional neurosurgery procedures|454100|neurostimulation - electrical lead removal/revision|
0499|41|4100|neuroscience|40950|other nervous system procedures|456300|other nervous system procedures|
05.0|41|4100|neuroscience|40950|other nervous system procedures|456300|other nervous system procedures|
05.11|41|4100|neuroscience|40950|other nervous system procedures|456300|other nervous system procedures|
05.19|41|4100|neuroscience|40950|other nervous system procedures|456300|other nervous system procedures|
05.21|41|4100|neuroscience|40950|other nervous system procedures|456300|other nervous system procedures|
05.22|41|4100|neuroscience|40950|other nervous system procedures|456900|sympathectomy - spine|
05.23|41|4100|neuroscience|40950|other nervous system procedures|456900|sympathectomy - spine|
05.24|41|4100|neuroscience|40950|other nervous system procedures|456300|other nervous system procedures|
05.25|41|4100|neuroscience|40950|other nervous system procedures|456300|other nervous system procedures|
05.29|41|4100|neuroscience|40950|other nervous system procedures|456300|other nervous system procedures|
05.31|41|4160|pain management|41360|injections/blocks|500100|injection - sympathetic nerve|
05.32|41|4160|pain management|41350|destructions (neurolysis & adhesiolysis)|499600|neurolysis|
05.39|41|4160|pain management|41350|destructions (neurolysis & adhesiolysis)|499600|neurolysis|
05.81|41|4100|neuroscience|40950|other nervous system procedures|456300|other nervous system procedures|
05.89|41|4100|neuroscience|40950|other nervous system procedures|456300|other nervous system procedures|
05.9|41|4100|neuroscience|40950|other nervous system procedures|456300|other nervous system procedures|
050|41|4100|neuroscience|40950|other nervous system procedures|456300|other nervous system procedures|
0511|41|4100|neuroscience|40950|other nervous system procedures|456300|other nervous system procedures|
0519|41|4100|neuroscience|40950|other nervous system procedures|456300|other nervous system procedures|
0521|41|4100|neuroscience|40950|other nervous system procedures|456300|other nervous system procedures|
0522|41|4100|neuroscience|40950|other nervous system procedures|456900|sympathectomy - spine|
0523|41|4100|neuroscience|40950|other nervous system procedures|456900|sympathectomy - spine|
0524|41|4100|neuroscience|40950|other nervous system procedures|456300|other nervous system procedures|
0525|41|4100|neuroscience|40950|other nervous system procedures|456300|other nervous system procedures|
0529|41|4100|neuroscience|40950|other nervous system procedures|456300|other nervous system procedures|
0531|41|4160|pain management|41360|injections/blocks|500100|injection - sympathetic nerve|
0532|41|4160|pain management|41350|destructions (neurolysis & adhesiolysis)|499600|neurolysis|
0539|41|4160|pain management|41350|destructions (neurolysis & adhesiolysis)|499600|neurolysis|
0581|41|4100|neuroscience|40950|other nervous system procedures|456300|other nervous system procedures|
0589|41|4100|neuroscience|40950|other nervous system procedures|456300|other nervous system procedures|
059|41|4100|neuroscience|40950|other nervous system procedures|456300|other nervous system procedures|
06.01|41|4030|ent|40090|endocrine (thyroid/parathyroid/thymus) procedures|407300|lesion aspiration/injection - thyroid|
06.02|41|4030|ent|40090|endocrine (thyroid/parathyroid/thymus) procedures|407900|removal/exploration - parathyroid|
06.09|41|4030|ent|40090|endocrine (thyroid/parathyroid/thymus) procedures|407400|lesion drainage - thyroid|
06.11|41|4030|ent|40090|endocrine (thyroid/parathyroid/thymus) procedures|407200|biopsy - percutaneous - thyroid|
06.12|41|4030|ent|40090|endocrine (thyroid/parathyroid/thymus) procedures|407700|other procedures - endocrine system|
06.13|41|4030|ent|40090|endocrine (thyroid/parathyroid/thymus) procedures|407700|other procedures - endocrine system|
06.19|41|4030|ent|40090|endocrine (thyroid/parathyroid/thymus) procedures|407700|other procedures - endocrine system|
06.2|41|4030|ent|40090|endocrine (thyroid/parathyroid/thymus) procedures|408100|thyroidectomy|
06.31|41|4030|ent|40090|endocrine (thyroid/parathyroid/thymus) procedures|407500|lesion excision - thyroid|
06.39|41|4030|ent|40090|endocrine (thyroid/parathyroid/thymus) procedures|408100|thyroidectomy|
06.4|41|4030|ent|40090|endocrine (thyroid/parathyroid/thymus) procedures|408100|thyroidectomy|
06.50|41|4030|ent|40090|endocrine (thyroid/parathyroid/thymus) procedures|408100|thyroidectomy|
06.51|41|4030|ent|40090|endocrine (thyroid/parathyroid/thymus) procedures|408100|thyroidectomy|
06.52|41|4030|ent|40090|endocrine (thyroid/parathyroid/thymus) procedures|408100|thyroidectomy|
06.6|41|4030|ent|40180|oral/maxillofacial procedures|416200|lesion excision/destruction - mouth/tongue|
06.7|41|4030|ent|40090|endocrine (thyroid/parathyroid/thymus) procedures|407500|lesion excision - thyroid|
06.81|41|4030|ent|40090|endocrine (thyroid/parathyroid/thymus) procedures|407900|removal/exploration - parathyroid|
06.89|41|4030|ent|40090|endocrine (thyroid/parathyroid/thymus) procedures|407900|removal/exploration - parathyroid|
06.91|41|4030|ent|40090|endocrine (thyroid/parathyroid/thymus) procedures|407500|lesion excision - thyroid|
06.92|41|4030|ent|40090|endocrine (thyroid/parathyroid/thymus) procedures|407700|other procedures - endocrine system|
06.93|41|4030|ent|40090|endocrine (thyroid/parathyroid/thymus) procedures|407700|other procedures - endocrine system|
06.94|41|4030|ent|40090|endocrine (thyroid/parathyroid/thymus) procedures|407700|other procedures - endocrine system|
06.95|41|4030|ent|40090|endocrine (thyroid/parathyroid/thymus) procedures|407800|parathyroid autotransplantation|
06.98|41|4030|ent|40090|endocrine (thyroid/parathyroid/thymus) procedures|407700|other procedures - endocrine system|
06.99|41|4030|ent|40090|endocrine (thyroid/parathyroid/thymus) procedures|407700|other procedures - endocrine system|
0601|41|4030|ent|40090|endocrine (thyroid/parathyroid/thymus) procedures|407300|lesion aspiration/injection - thyroid|
