MX_CODE|LEVEL1_CODE|LEVEL1_DESC|LEVEL2_CODE|LEVEL2_DESC|LEVEL3_CODE|LEVEL3_DESC|GENDER
392|1040|gastroenterology|10150|medicine gastroenterology|101210|392 - esophagitis, gastroent & misc digest disorders w/o mcc|
393|1040|gastroenterology|10150|medicine gastroenterology|101220|393 - other digestive system diagnoses w mcc|
394|1040|gastroenterology|10150|medicine gastroenterology|101230|394 - other digestive system diagnoses w cc|
395|1040|gastroenterology|10150|medicine gastroenterology|101240|395 - other digestive system diagnoses w/o cc/mcc|
438|1040|gastroenterology|10150|medicine gastroenterology|101250|438 - disorders of pancreas except malignancy w mcc|
439|1040|gastroenterology|10150|medicine gastroenterology|101260|439 - disorders of pancreas except malignancy w cc|
440|1040|gastroenterology|10150|medicine gastroenterology|101270|440 - disorders of pancreas except malignancy w/o cc/mcc|
441|1040|gastroenterology|10150|medicine gastroenterology|101280|441 - disorders of liver except malig,cirr,alc hepa w mcc|
442|1040|gastroenterology|10150|medicine gastroenterology|101290|442 - disorders of liver except malig,cirr,alc hepa w cc|
443|1040|gastroenterology|10150|medicine gastroenterology|101300|443 - disorders of liver except malig,cirr,alc hepa w/o cc/mcc|
444|1040|gastroenterology|10150|medicine gastroenterology|101310|444 - disorders of the biliary tract w mcc|
445|1040|gastroenterology|10150|medicine gastroenterology|101320|445 - disorders of the biliary tract w cc|
446|1040|gastroenterology|10150|medicine gastroenterology|101330|446 - disorders of the biliary tract w/o cc/mcc|
005|1040|gastroenterology|10160|surgery transplant|101340|005 - liver transplant w mcc or intestinal transplant|
5|1040|gastroenterology|10160|surgery transplant|101340|005 - liver transplant w mcc or intestinal transplant|
006|1040|gastroenterology|10160|surgery transplant|101350|006 - liver transplant w/o mcc|
6|1040|gastroenterology|10160|surgery transplant|101350|006 - liver transplant w/o mcc|
933|1050|general medicine|10170|burns|101360|933 - extensive burns or full thickness burns w mv 96+ hrs w/o skin graft|
934|1050|general medicine|10170|burns|101370|934 - full thickness burn w/o skin grft or inhal inj|
935|1050|general medicine|10170|burns|101380|935 - non-extensive burns|
595|1050|general medicine|10180|dermatology|101390|595 - major skin disorders w mcc|
596|1050|general medicine|10180|dermatology|101400|596 - major skin disorders w/o mcc|
602|1050|general medicine|10180|dermatology|101410|602 - cellulitis w mcc|
603|1050|general medicine|10180|dermatology|101420|603 - cellulitis w/o mcc|
606|1050|general medicine|10180|dermatology|101430|606 - minor skin disorders w mcc|
607|1050|general medicine|10180|dermatology|101440|607 - minor skin disorders w/o mcc|
432|1050|general medicine|10190|gastroenterology|101450|432 - cirrhosis & alcoholic hepatitis w mcc|
433|1050|general medicine|10190|gastroenterology|101460|433 - cirrhosis & alcoholic hepatitis w cc|
434|1050|general medicine|10190|gastroenterology|101470|434 - cirrhosis & alcoholic hepatitis w/o cc/mcc|
862|1050|general medicine|10200|infectious disease|101480|862 - postoperative & post-traumatic infections w mcc|
863|1050|general medicine|10200|infectious disease|101490|863 - postoperative & post-traumatic infections w/o mcc|
623|1060|general surgery|10390|surgery endocrine|102480|623 - skin grafts & wound debrid for endoc, nutrit & metab dis w cc|
624|1060|general surgery|10390|surgery endocrine|102490|624 - skin grafts & wound debrid for endoc, nutrit & metab dis w/o cc/mcc|
628|1060|general surgery|10390|surgery endocrine|102500|628 - other endocrine, nutrit & metab o.r. proc w mcc|
629|1060|general surgery|10390|surgery endocrine|102510|629 - other endocrine, nutrit & metab o.r. proc w cc|
630|1060|general surgery|10390|surgery endocrine|102520|630 - other endocrine, nutrit & metab o.r. proc w/o cc/mcc|
405|1060|general surgery|10400|surgery hepatobiliary/pancreatic|102530|405 - pancreas, liver & shunt procedures w mcc|
406|1060|general surgery|10400|surgery hepatobiliary/pancreatic|102540|406 - pancreas, liver & shunt procedures w cc|
407|1060|general surgery|10400|surgery hepatobiliary/pancreatic|102550|407 - pancreas, liver & shunt procedures w/o cc/mcc|
408|1060|general surgery|10400|surgery hepatobiliary/pancreatic|102560|408 - biliary tract proc except only cholecyst w or w/o c.d.e. w mcc|
409|1060|general surgery|10400|surgery hepatobiliary/pancreatic|102570|409 - biliary tract proc except only cholecyst w or w/o c.d.e. w cc|
410|1060|general surgery|10400|surgery hepatobiliary/pancreatic|102580|410 - biliary tract proc except only cholecyst w or w/o c.d.e. w/o cc/mcc|
421|1060|general surgery|10400|surgery hepatobiliary/pancreatic|102590|421 - hepatobiliary diagnostic procedures w cc|
422|1060|general surgery|10400|surgery hepatobiliary/pancreatic|102600|422 - hepatobiliary diagnostic procedures w/o cc/mcc|
423|1060|general surgery|10400|surgery hepatobiliary/pancreatic|102610|423 - other hepatobiliary or pancreas o.r. procedures w mcc|
424|1060|general surgery|10400|surgery hepatobiliary/pancreatic|102620|424 - other hepatobiliary or pancreas o.r. procedures w cc|
425|1060|general surgery|10400|surgery hepatobiliary/pancreatic|102630|425 - other hepatobiliary or pancreas o.r. procedures w/o cc/mcc|
350|1060|general surgery|10410|surgery hernia|102640|350 - inguinal & femoral hernia procedures w mcc|
351|1060|general surgery|10410|surgery hernia|102650|351 - inguinal & femoral hernia procedures w cc|
352|1060|general surgery|10410|surgery hernia|102660|352 - inguinal & femoral hernia procedures w/o cc/mcc|
353|1060|general surgery|10410|surgery hernia|102670|353 - hernia procedures except inguinal & femoral w mcc|
354|1060|general surgery|10410|surgery hernia|102680|354 - hernia procedures except inguinal & femoral w cc|
355|1060|general surgery|10410|surgery hernia|102690|355 - hernia procedures except inguinal & femoral w/o cc/mcc|
148|1140|oncology|10780|medical oncology|104650|148 - ear, nose, mouth & throat malignancy w/o cc/mcc|
180|1140|oncology|10780|medical oncology|104660|180 - respiratory neoplasms w mcc|
181|1140|oncology|10780|medical oncology|104670|181 - respiratory neoplasms w cc|
182|1140|oncology|10780|medical oncology|104680|182 - respiratory neoplasms w/o cc/mcc|
374|1140|oncology|10780|medical oncology|104690|374 - digestive malignancy w mcc|
375|1140|oncology|10780|medical oncology|104700|375 - digestive malignancy w cc|
376|1140|oncology|10780|medical oncology|104710|376 - digestive malignancy w/o cc/mcc|
435|1140|oncology|10780|medical oncology|104720|435 - malignancy of hepatobiliary system or pancreas w mcc|
436|1140|oncology|10780|medical oncology|104730|436 - malignancy of hepatobiliary system or pancreas w cc|
437|1140|oncology|10780|medical oncology|104740|437 - malignancy of hepatobiliary system or pancreas w/o cc/mcc|
542|1140|oncology|10780|medical oncology|104750|542 - pathological fractures & musculoskelet & conn tiss malig w mcc|
543|1140|oncology|10780|medical oncology|104760|543 - pathological fractures & musculoskelet & conn tiss malig w cc|
544|1140|oncology|10780|medical oncology|104770|544 - pathological fractures & musculoskelet & conn tiss malig w/o cc/mcc|
597|1140|oncology|10780|medical oncology|104780|597 - malignant breast disorders w mcc|
598|1140|oncology|10780|medical oncology|104790|598 - malignant breast disorders w cc|
599|1140|oncology|10780|medical oncology|104800|599 - malignant breast disorders w/o cc/mcc|
686|1140|oncology|10780|medical oncology|104810|686 - kidney & urinary tract neoplasms w mcc|
687|1140|oncology|10780|medical oncology|104820|687 - kidney & urinary tract neoplasms w cc|
688|1140|oncology|10780|medical oncology|104830|688 - kidney & urinary tract neoplasms w/o cc/mcc|
